identifiant_contrat;code_etablissement;code_produit;type_produit;date_ouverture;date_echeance;montant_initial;montant_restant_du;devise;type_taux;taux_dar;duree_initiale_mois;identifiant_tiers;statut_contrat;segment_clientele
C000206;ETB001;PRET_IMMO;CREDIT;2015-01-31;2034-04-29;198930.01;57604.03;EUR;VARIABLE;;120;T000477;ACTIF;PME
C000207;ETB001;LIVRET_A;EPARGNE;2018-02-09;;485903.05;;EUR;;;;T000415;CLOTURE;PME
C000208;ETB001;DECOUVERT;CREDIT;2016-08-13;2031-01-06;200878.37;119850.78;EUR;FIXE;2.5363;300;T000336;ACTIF;
C000209;ETB001;LIVRET_A;EPARGNE;2021-09-11;;196071.69;;EUR;;;;T000407;CONTENTIEUX;PME
C000210;ETB001;PRET_IMMO;CREDIT;2020-09-16;2028-09-18;78690.7;51616.48;EUR;FIXE;3.7129;240;T000140;ACTIF;PARTICULIER
C000211;ETB001;CREDIT_BAIL;CREDIT;2015-04-08;2024-07-17;171232.76;58533.07;EUR;REVISABLE;;180;T000225;ACTIF;
C000212;ETB001;PRET_CONSO;CREDIT;2018-11-26;2032-02-14;274039.5;79309.25;EUR;REVISABLE;;300;T000233;CONTENTIEUX;
C000213;ETB001;DAV;DEPOT;2016-08-23;;254865.35;;EUR;;;;T000452;ACTIF;ETI
C000214;ETB001;PRET_IMMO;CREDIT;2015-08-05;2034-07-30;42237.15;5549.51;EUR;VARIABLE;;120;T000324;CONTENTIEUX;PME
C000215;ETB001;DAV;DEPOT;2018-03-12;;441666.16;;EUR;;;;T000023;ACTIF;PME
C000216;ETB001;DAV;DEPOT;2023-06-29;;143194.19;;EUR;;;;T000231;CLOTURE;
C000217;ETB001;CAT;DEPOT;2019-09-17;;244470.56;;EUR;;;;T000147;CLOTURE;PARTICULIER
C000218;ETB001;PRET_IMMO;CREDIT;2017-12-30;2030-05-09;65446.57;34751.01;EUR;FIXE;3.2503;120;T000319;ACTIF;PARTICULIER
C000219;ETB001;DECOUVERT;CREDIT;2022-11-08;2034-11-18;239246.74;131532.09;EUR;FIXE;0.8454;240;T000110;ACTIF;PME
C000220;ETB001;DAV;DEPOT;2023-10-13;;332848.43;;EUR;;;;T000077;CLOTURE;PME
C000221;ETB001;PRET_IMMO;CREDIT;2017-05-26;2035-12-02;355494.43;316270.32;EUR;FIXE;1.8027;300;T000192;ACTIF;ETI
C000222;ETB001;DECOUVERT;CREDIT;2021-08-02;2037-01-23;170776.26;83757.96;EUR;FIXE;1.4433;180;T000423;ACTIF;
C000223;ETB001;DAV;DEPOT;2022-05-15;;309983.31;;EUR;;;;T000341;ACTIF;PARTICULIER
C000224;ETB001;DAV;DEPOT;2018-12-09;;340076.97;;EUR;;;;T000419;ACTIF;
C000225;ETB001;CREDIT_BAIL;CREDIT;2016-04-09;2026-10-26;333862.81;283713.76;EUR;VARIABLE;;60;T000126;ACTIF;
C000226;ETB001;PRET_CONSO;CREDIT;2018-03-30;2036-07-13;190277.27;73656.9;EUR;VARIABLE;;180;T000001;ACTIF;PME
C000227;ETB001;PEL;EPARGNE;2015-02-06;;212408.13;;EUR;;;;T000172;ACTIF;ETI
C000228;ETB001;DECOUVERT;CREDIT;2021-06-09;2032-01-06;333208.42;264788.35;EUR;VARIABLE;;300;T000081;CONTENTIEUX;PME
C000229;ETB001;DAV;DEPOT;2020-12-06;;443188.97;;EUR;;;;T000383;CONTENTIEUX;PARTICULIER
C000230;ETB001;LIVRET_A;EPARGNE;2019-04-22;;176048.36;;EUR;;;;T000395;ACTIF;
C000231;ETB001;CAT;DEPOT;2015-05-08;;96071.6;;EUR;;;;T000334;ACTIF;PARTICULIER
C000232;ETB001;PEL;EPARGNE;2021-08-15;;476069.89;;EUR;;;;T000419;CONTENTIEUX;PARTICULIER
C000233;ETB001;LIVRET_A;EPARGNE;2019-09-10;;418092.66;;EUR;;;;T000213;ACTIF;
C000234;ETB001;DECOUVERT;CREDIT;2023-05-10;2025-12-24;55046.68;40871.52;EUR;REVISABLE;;240;T000364;ACTIF;ETI
C000235;ETB001;CAT;DEPOT;2021-05-19;;399049.85;;EUR;;;;T000226;CLOTURE;PME
C000236;ETB001;LIVRET_A;EPARGNE;2022-08-04;;230304.76;;EUR;;;;T000150;CONTENTIEUX;PARTICULIER
C000237;ETB001;PRET_IMMO;CREDIT;2017-01-28;2037-10-14;468385.8;251363.61;EUR;REVISABLE;;180;T000316;ACTIF;
C000238;ETB001;LIVRET_A;EPARGNE;2016-08-02;;146171.41;;EUR;;;;T000195;ACTIF;
C000239;ETB001;PRET_IMMO;CREDIT;2017-12-09;2026-10-24;237516.32;178065.37;EUR;VARIABLE;;120;T000395;CONTENTIEUX;PARTICULIER
C000240;ETB001;PRET_IMMO;CREDIT;2015-12-14;2037-10-20;113143.58;18739.93;EUR;FIXE;2.3862;180;T000192;ACTIF;
C000241;ETB001;DAV;DEPOT;2022-03-27;;142538.95;;EUR;;;;T000304;ACTIF;ETI
C000242;ETB001;DAV;DEPOT;2022-08-26;;129230.54;;EUR;;;;T000465;CONTENTIEUX;PME
C000243;ETB001;CREDIT_BAIL;CREDIT;2023-12-20;2037-08-14;394983.68;268479.73;EUR;VARIABLE;;120;T000395;ACTIF;PME
C000244;ETB001;PEL;EPARGNE;2021-08-24;;200367.39;;EUR;;;;T000454;CONTENTIEUX;PME
C000245;ETB001;PRET_IMMO;CREDIT;2015-12-14;2028-05-25;421846.25;61308.9;EUR;REVISABLE;;180;T000058;CONTENTIEUX;
C000246;ETB001;PRET_CONSO;CREDIT;2018-02-22;2029-05-27;459337.89;289148.97;EUR;REVISABLE;;300;T000280;ACTIF;
C000247;ETB001;DECOUVERT;CREDIT;2021-05-11;2040-05-14;18632.75;7873.23;EUR;FIXE;4.4313;240;T000124;CLOTURE;PME
C000248;ETB001;PRET_IMMO;CREDIT;2022-07-04;2031-12-27;413359.56;147310.38;EUR;VARIABLE;;120;T000002;ACTIF;
C000249;ETB001;CAT;DEPOT;2015-09-16;;18303.01;;EUR;;;;T000473;ACTIF;PARTICULIER
C000250;ETB001;LIVRET_A;EPARGNE;2016-04-03;;316929.81;;EUR;;;;T000465;ACTIF;PARTICULIER
C000251;ETB001;CAT;DEPOT;2021-04-26;;403556.61;;EUR;;;;T000260;ACTIF;PARTICULIER
C000252;ETB001;CAT;DEPOT;2016-07-06;;377024.87;;EUR;;;;T000020;ACTIF;PME
C000253;ETB001;DECOUVERT;CREDIT;2019-07-18;2030-09-23;404351.1;70586.86;EUR;FIXE;0.9021;240;T000032;ACTIF;PME
C000254;ETB001;DECOUVERT;CREDIT;2017-09-04;2031-06-12;137128.35;58280.55;EUR;VARIABLE;;60;T000419;ACTIF;PME
C000255;ETB001;DAV;DEPOT;2018-02-04;;164859.14;;EUR;;;;T000170;ACTIF;
C000256;ETB001;PEL;EPARGNE;2019-07-23;;214973.02;;EUR;;;;T000129;ACTIF;PARTICULIER
C000257;ETB001;PRET_IMMO;CREDIT;2016-11-24;2030-07-19;61314.31;27596.23;EUR;VARIABLE;;240;T000243;ACTIF;PME
C000258;ETB001;DAV;DEPOT;2021-09-29;;447625.13;;EUR;;;;T000160;CLOTURE;
C000259;ETB001;PEL;EPARGNE;2018-04-27;;445630.7;;EUR;;;;T000226;CONTENTIEUX;PARTICULIER
C000260;ETB001;DAV;DEPOT;2020-12-22;;214679.77;;EUR;;;;T000084;CONTENTIEUX;ETI
C000261;ETB001;CAT;DEPOT;2015-12-07;;72370.88;;EUR;;;;T000278;ACTIF;PME
C000262;ETB001;DECOUVERT;CREDIT;2019-12-08;2040-10-04;388017.82;164015.81;EUR;VARIABLE;;180;T000238;CONTENTIEUX;PARTICULIER
C000263;ETB001;PRET_CONSO;CREDIT;2019-03-26;2031-11-28;175077.82;18424.51;EUR;FIXE;2.0798;300;T000122;ACTIF;ETI
C000264;ETB001;PEL;EPARGNE;2021-05-24;;24204.74;;EUR;;;;T000314;CONTENTIEUX;PARTICULIER
C000265;ETB001;CREDIT_BAIL;CREDIT;2016-12-05;2026-06-02;87603.69;76924.65;EUR;VARIABLE;;180;T000488;ACTIF;
C000266;ETB001;DAV;DEPOT;2022-11-05;;55933.35;;EUR;;;;T000045;ACTIF;PARTICULIER
C000267;ETB001;CAT;DEPOT;2022-03-18;;32801.17;;EUR;;;;T000188;ACTIF;PME
C000268;ETB001;CAT;DEPOT;2015-10-29;;390986.41;;EUR;;;;T000151;ACTIF;
C000269;ETB001;CREDIT_BAIL;CREDIT;2022-02-16;2029-09-22;160875.19;124831.21;EUR;REVISABLE;;60;T000037;CONTENTIEUX;PARTICULIER
C000270;ETB001;LIVRET_A;EPARGNE;2019-12-26;;356128.35;;EUR;;;;T000425;CONTENTIEUX;PARTICULIER
C000271;ETB001;PEL;EPARGNE;2018-08-14;;156556.03;;EUR;;;;T000342;CONTENTIEUX;
C000272;ETB001;PRET_CONSO;CREDIT;2019-07-02;2038-11-21;402538.64;128916.64;EUR;FIXE;2.6751;240;T000144;CLOTURE;
C000273;ETB001;PEL;EPARGNE;2016-04-26;;141064.78;;EUR;;;;T000108;ACTIF;PME
C000274;ETB001;PRET_IMMO;CREDIT;2019-01-31;2032-09-21;445414.18;289430.97;EUR;FIXE;0.7908;120;T000154;ACTIF;PME
C000275;ETB001;PEL;EPARGNE;2015-03-25;;79149.15;;EUR;;;;T000471;CONTENTIEUX;PARTICULIER
C000276;ETB001;LIVRET_A;EPARGNE;2016-03-18;;59894.89;;EUR;;;;T000003;CONTENTIEUX;PARTICULIER
C000277;ETB001;CAT;DEPOT;2022-03-05;;313015.16;;EUR;;;;T000386;CLOTURE;
C000278;ETB001;DAV;DEPOT;2015-11-29;;314601.52;;EUR;;;;T000051;ACTIF;ETI
C000279;ETB001;CAT;DEPOT;2018-01-01;;451212.35;;EUR;;;;T000395;ACTIF;PME
C000280;ETB001;PRET_CONSO;CREDIT;2016-10-01;2026-10-21;143028.15;119775.15;EUR;FIXE;3.0646;300;T000132;CONTENTIEUX;PARTICULIER
C000281;ETB001;PEL;EPARGNE;2016-06-11;;22038.91;;EUR;;;;T000078;ACTIF;
C000282;ETB001;PRET_IMMO;CREDIT;2016-02-05;2032-06-02;370951.4;129831.1;EUR;REVISABLE;;240;T000144;CONTENTIEUX;PME
C000283;ETB001;DAV;DEPOT;2017-04-11;;440912.34;;EUR;;;;T000160;CLOTURE;PME
C000284;ETB001;LIVRET_A;EPARGNE;2023-08-07;;429682.97;;EUR;;;;T000467;CLOTURE;ETI
C000285;ETB001;PEL;EPARGNE;2017-11-13;;342435.82;;EUR;;;;T000198;ACTIF;PARTICULIER
C000286;ETB001;DAV;DEPOT;2015-11-13;;424181.23;;EUR;;;;T000417;ACTIF;
C000287;ETB001;DAV;DEPOT;2017-01-24;;390230.98;;EUR;;;;T000467;ACTIF;
C000288;ETB001;CAT;DEPOT;2018-04-30;;234109.74;;EUR;;;;T000378;ACTIF;ETI
C000289;ETB001;PRET_CONSO;CREDIT;2020-07-31;2032-02-24;476127.53;357793.13;EUR;VARIABLE;;300;T000159;CONTENTIEUX;
C000290;ETB001;CREDIT_BAIL;CREDIT;2018-08-06;2030-07-29;105339.83;26586.95;EUR;VARIABLE;;180;T000261;CONTENTIEUX;
C000291;ETB001;PRET_CONSO;CREDIT;2021-03-31;2038-12-16;136072.28;18047.1;EUR;FIXE;2.6782;120;T000362;ACTIF;PME
C000292;ETB001;CAT;DEPOT;2022-05-13;;78944.1;;EUR;;;;T000470;ACTIF;PME
C000293;ETB001;CREDIT_BAIL;CREDIT;2015-03-30;2030-04-23;22731.06;9792.52;EUR;VARIABLE;;60;T000029;ACTIF;PME
C000294;ETB001;PRET_CONSO;CREDIT;2023-06-14;2028-12-22;68747.09;36433.54;EUR;REVISABLE;;180;T000224;ACTIF;
C000295;ETB001;PRET_CONSO;CREDIT;2017-01-12;2024-05-14;444136.75;315842.96;EUR;FIXE;1.2454;180;T000351;CONTENTIEUX;PARTICULIER
C000296;ETB001;DAV;DEPOT;2022-05-02;;68866.51;;EUR;;;;T000435;ACTIF;ETI
C000297;ETB001;DECOUVERT;CREDIT;2016-05-01;2032-09-05;301805.57;52520.11;EUR;REVISABLE;;120;T000028;ACTIF;PME
C000298;ETB001;PRET_IMMO;CREDIT;2020-02-29;2034-08-14;257384.77;89311.05;EUR;FIXE;3.034;120;T000009;ACTIF;ETI
C000299;ETB001;LIVRET_A;EPARGNE;2015-01-05;;469878.59;;EUR;;;;T000155;CLOTURE;ETI
C000300;ETB001;PEL;EPARGNE;2017-12-18;;184715.0;;EUR;;;;T000421;ACTIF;PARTICULIER
C000301;ETB001;PRET_CONSO;CREDIT;2017-08-20;2040-06-16;142246.22;39421.39;EUR;REVISABLE;;60;T000159;CONTENTIEUX;PARTICULIER
C000302;ETB001;PRET_CONSO;CREDIT;2020-12-14;2037-03-08;45977.92;7132.96;EUR;FIXE;2.2307;300;T000445;CLOTURE;PME
C000303;ETB001;PRET_CONSO;CREDIT;2019-11-19;2033-02-07;426212.96;258933.62;EUR;VARIABLE;;300;T000489;ACTIF;
C000304;ETB001;DAV;DEPOT;2015-11-22;;279252.95;;EUR;;;;T000208;ACTIF;ETI
C000305;ETB001;PRET_IMMO;CREDIT;2017-08-30;2027-07-11;148053.94;76470.06;EUR;REVISABLE;;180;T000329;CLOTURE;PME
C000306;ETB001;CREDIT_BAIL;CREDIT;2016-03-29;2032-07-03;420405.05;183411.95;EUR;REVISABLE;;180;T000218;ACTIF;PARTICULIER
C000307;ETB001;PEL;EPARGNE;2023-01-19;;346255.61;;EUR;;;;T000041;CLOTURE;PME
C000308;ETB001;CREDIT_BAIL;CREDIT;2023-02-23;2037-12-31;292573.59;262488.17;EUR;VARIABLE;;180;T000101;ACTIF;PME
C000309;ETB001;PRET_CONSO;CREDIT;2019-02-26;2040-09-09;136465.33;50697.57;EUR;FIXE;4.7838;180;T000117;ACTIF;PARTICULIER
C000310;ETB001;PRET_CONSO;CREDIT;2023-05-09;2031-11-25;463401.43;117278.15;EUR;FIXE;1.131;240;T000257;CONTENTIEUX;ETI
C000311;ETB001;PRET_IMMO;CREDIT;2020-05-01;2033-07-24;351291.44;197639.61;EUR;FIXE;3.7805;240;T000483;CLOTURE;PME
C000312;ETB001;LIVRET_A;EPARGNE;2022-06-23;;191100.05;;EUR;;;;T000366;ACTIF;PME
C000313;ETB001;PEL;EPARGNE;2017-12-12;;451668.06;;EUR;;;;T000462;ACTIF;
C000314;ETB001;PRET_CONSO;CREDIT;2017-01-17;2028-07-19;126446.92;111687.39;EUR;REVISABLE;;60;T000246;CLOTURE;PARTICULIER
C000315;ETB001;LIVRET_A;EPARGNE;2020-03-26;;383183.17;;EUR;;;;T000351;ACTIF;ETI
C000316;ETB001;CREDIT_BAIL;CREDIT;2021-12-25;2033-02-10;60390.28;17523.79;EUR;VARIABLE;;300;T000333;ACTIF;PME
C000317;ETB001;CREDIT_BAIL;CREDIT;2015-02-08;2030-12-03;444182.41;69991.99;EUR;FIXE;2.0082;300;T000195;CLOTURE;ETI
C000318;ETB001;PRET_CONSO;CREDIT;2018-05-17;2027-04-07;467447.84;55299.88;EUR;REVISABLE;;60;T000468;CONTENTIEUX;ETI
C000319;ETB001;CAT;DEPOT;2019-11-20;;143044.35;;EUR;;;;T000297;CONTENTIEUX;
C000320;ETB001;PRET_CONSO;CREDIT;2016-08-29;2026-05-09;208831.51;84898.17;EUR;VARIABLE;;300;T000269;ACTIF;
C000321;ETB001;DAV;DEPOT;2022-11-20;;408289.35;;EUR;;;;T000431;ACTIF;ETI
C000322;ETB001;PRET_CONSO;CREDIT;2016-07-03;2031-10-14;405518.37;97357.98;EUR;FIXE;3.1789;180;T000099;CONTENTIEUX;ETI
C000323;ETB001;PEL;EPARGNE;2023-03-06;;176505.43;;EUR;;;;T000434;ACTIF;PARTICULIER
C000324;ETB001;CAT;DEPOT;2017-10-05;;342853.37;;EUR;;;;T000289;CLOTURE;PME
C000325;ETB001;LIVRET_A;EPARGNE;2022-10-16;;286282.27;;EUR;;;;T000069;CLOTURE;PARTICULIER
C000326;ETB001;PEL;EPARGNE;2019-12-20;;26559.84;;EUR;;;;T000350;ACTIF;
C000327;ETB001;DAV;DEPOT;2018-04-08;;271492.83;;EUR;;;;T000150;ACTIF;PME
C000328;ETB001;PEL;EPARGNE;2020-01-29;;341261.22;;EUR;;;;T000414;ACTIF;PARTICULIER
C000329;ETB001;CAT;DEPOT;2015-03-05;;301810.16;;EUR;;;;T000441;CONTENTIEUX;PARTICULIER
C000330;ETB001;DAV;DEPOT;2017-09-22;;69670.76;;EUR;;;;T000328;ACTIF;ETI
C000331;ETB001;PRET_IMMO;CREDIT;2021-11-17;2034-11-29;349383.6;133457.81;EUR;FIXE;0.5976;300;T000118;CLOTURE;
C000332;ETB001;CAT;DEPOT;2017-11-06;;2631.73;;EUR;;;;T000096;ACTIF;ETI
C000333;ETB001;PRET_IMMO;CREDIT;2020-05-27;2026-01-26;256340.54;183044.2;EUR;REVISABLE;;60;T000036;ACTIF;
C000334;ETB001;PRET_CONSO;CREDIT;2017-03-05;2034-12-07;345672.02;115915.87;EUR;VARIABLE;;120;T000343;CLOTURE;ETI
C000335;ETB001;PRET_CONSO;CREDIT;2015-12-11;2038-05-07;480109.57;372950.83;EUR;VARIABLE;;240;T000450;CLOTURE;PME
C000336;ETB001;PEL;EPARGNE;2018-05-05;;326272.17;;EUR;;;;T000416;CLOTURE;ETI
C000337;ETB001;PEL;EPARGNE;2019-07-04;;346223.63;;EUR;;;;T000449;CONTENTIEUX;ETI
C000338;ETB001;PEL;EPARGNE;2020-06-08;;439492.71;;EUR;;;;T000247;ACTIF;
C000339;ETB001;PEL;EPARGNE;2020-11-11;;85085.99;;EUR;;;;T000353;ACTIF;PME
C000340;ETB001;CREDIT_BAIL;CREDIT;2017-02-20;2024-10-19;266839.4;210734.42;EUR;FIXE;1.8297;120;T000324;CLOTURE;ETI
C000341;ETB001;PRET_IMMO;CREDIT;2022-12-12;2029-02-05;20216.66;8254.18;EUR;VARIABLE;;240;T000334;ACTIF;
C000342;ETB001;DAV;DEPOT;2023-09-02;;132633.9;;EUR;;;;T000209;ACTIF;
C000343;ETB001;CREDIT_BAIL;CREDIT;2022-12-06;2024-07-09;9755.16;6813.63;EUR;REVISABLE;;60;T000146;CONTENTIEUX;PME
C000344;ETB001;PRET_IMMO;CREDIT;2022-03-19;2040-02-28;125446.55;20261.3;EUR;VARIABLE;;60;T000441;CLOTURE;
C000345;ETB001;CREDIT_BAIL;CREDIT;2022-10-28;2024-11-09;312434.2;257655.91;EUR;VARIABLE;;60;T000297;ACTIF;PARTICULIER
C000346;ETB001;PRET_IMMO;CREDIT;2021-03-16;2038-04-10;312993.41;151531.06;EUR;REVISABLE;;120;T000111;ACTIF;
C000347;ETB001;PRET_CONSO;CREDIT;2016-06-12;2040-10-22;256698.59;26815.4;EUR;VARIABLE;;300;T000125;ACTIF;ETI
C000348;ETB001;PRET_CONSO;CREDIT;2015-02-02;2028-10-29;55297.0;41271.64;EUR;VARIABLE;;240;T000294;ACTIF;PME
C000349;ETB001;PEL;EPARGNE;2016-12-01;;32540.81;;EUR;;;;T000140;ACTIF;ETI
C000350;ETB001;DAV;DEPOT;2020-05-17;;165690.11;;EUR;;;;T000011;CONTENTIEUX;
C000351;ETB001;PRET_IMMO;CREDIT;2023-08-17;2040-09-14;454787.75;91175.7;EUR;REVISABLE;;120;T000270;CONTENTIEUX;ETI
C000352;ETB001;CREDIT_BAIL;CREDIT;2022-12-10;2036-07-29;226479.43;111846.46;EUR;REVISABLE;;300;T000077;ACTIF;ETI
C000353;ETB001;DECOUVERT;CREDIT;2015-03-04;2025-08-19;396228.29;253264.82;EUR;VARIABLE;;180;T000305;ACTIF;PME
C000354;ETB001;PRET_IMMO;CREDIT;2018-09-20;2031-02-12;196185.53;114637.12;EUR;FIXE;4.1453;240;T000352;ACTIF;
C000355;ETB001;DECOUVERT;CREDIT;2020-07-12;2025-09-09;186566.88;101293.55;EUR;FIXE;3.4748;240;T000176;CLOTURE;ETI
C000356;ETB001;CREDIT_BAIL;CREDIT;2018-08-19;2032-10-21;124846.54;95470.54;EUR;REVISABLE;;180;T000288;ACTIF;
C000357;ETB001;LIVRET_A;EPARGNE;2016-05-31;;348072.39;;EUR;;;;T000393;ACTIF;ETI
C000358;ETB001;PRET_IMMO;CREDIT;2019-05-04;2038-09-30;201410.57;23309.85;EUR;REVISABLE;;180;T000240;ACTIF;ETI
C000359;ETB001;CREDIT_BAIL;CREDIT;2015-04-04;2040-04-07;82675.64;14719.37;EUR;FIXE;4.5567;240;T000009;ACTIF;ETI
C000360;ETB001;CAT;DEPOT;2022-12-09;;145126.18;;EUR;;;;T000357;CONTENTIEUX;PME
C000361;ETB001;PEL;EPARGNE;2021-12-27;;193402.69;;EUR;;;;T000363;ACTIF;ETI
C000362;ETB001;PRET_CONSO;CREDIT;2015-01-21;2038-01-27;381362.75;163924.39;EUR;FIXE;4.3077;240;T000496;ACTIF;ETI
C000363;ETB001;CREDIT_BAIL;CREDIT;2017-05-21;2033-07-01;216200.52;92946.83;EUR;FIXE;4.6092;300;T000389;ACTIF;ETI
C000364;ETB001;PRET_IMMO;CREDIT;2023-11-24;2038-03-04;11597.94;4559.23;EUR;FIXE;0.7748;300;T000118;CONTENTIEUX;PME
C000365;ETB001;DAV;DEPOT;2018-07-08;;452727.22;;EUR;;;;T000488;CONTENTIEUX;PARTICULIER
C000366;ETB001;LIVRET_A;EPARGNE;2019-09-13;;11709.88;;EUR;;;;T000022;ACTIF;ETI
C000367;ETB001;CAT;DEPOT;2019-10-25;;109283.13;;EUR;;;;T000443;ACTIF;PME
C000368;ETB001;CREDIT_BAIL;CREDIT;2019-12-22;2025-06-12;52521.37;34603.9;EUR;REVISABLE;;120;T000124;CONTENTIEUX;ETI
C000369;ETB001;CAT;DEPOT;2023-03-17;;185980.9;;EUR;;;;T000175;ACTIF;PARTICULIER
C000370;ETB001;LIVRET_A;EPARGNE;2016-01-25;;308529.96;;EUR;;;;T000133;CLOTURE;ETI
C000371;ETB001;PRET_CONSO;CREDIT;2015-10-28;2030-02-23;66949.59;43492.4;EUR;REVISABLE;;240;T000229;ACTIF;PARTICULIER
C000372;ETB001;CREDIT_BAIL;CREDIT;2023-09-11;2035-06-15;256754.35;29490.21;EUR;VARIABLE;;300;T000295;ACTIF;ETI
C000373;ETB001;PRET_CONSO;CREDIT;2019-08-21;2026-05-28;153762.12;130750.86;EUR;FIXE;2.9723;240;T000076;ACTIF;PME
C000374;ETB001;DECOUVERT;CREDIT;2021-07-21;2028-04-10;305489.63;43388.07;EUR;VARIABLE;;120;T000438;CONTENTIEUX;PME
C000375;ETB001;PRET_IMMO;CREDIT;2015-06-10;2029-10-20;272987.95;171432.19;EUR;FIXE;3.2739;60;T000277;ACTIF;PARTICULIER
C000376;ETB001;PEL;EPARGNE;2017-02-02;;158777.61;;EUR;;;;T000338;CONTENTIEUX;
C000377;ETB001;LIVRET_A;EPARGNE;2015-09-03;;237504.19;;EUR;;;;T000231;CLOTURE;
C000378;ETB001;DAV;DEPOT;2022-09-08;;203641.12;;EUR;;;;T000489;ACTIF;PME
C000379;ETB001;CAT;DEPOT;2022-12-15;;351870.33;;EUR;;;;T000226;ACTIF;
C000380;ETB001;PEL;EPARGNE;2022-10-13;;378831.69;;EUR;;;;T000279;CLOTURE;PARTICULIER
C000381;ETB001;PEL;EPARGNE;2018-02-12;;106761.84;;EUR;;;;T000213;ACTIF;PME
C000382;ETB001;PRET_CONSO;CREDIT;2016-04-26;2027-07-03;463170.49;180090.25;EUR;VARIABLE;;240;T000284;CLOTURE;
C000383;ETB001;PRET_CONSO;CREDIT;2021-04-04;2026-12-29;30902.7;27200.48;EUR;FIXE;1.006;180;T000287;ACTIF;PARTICULIER
C000384;ETB001;PEL;EPARGNE;2017-01-03;;468298.97;;EUR;;;;T000095;ACTIF;ETI
C000385;ETB001;LIVRET_A;EPARGNE;2019-03-01;;107916.08;;EUR;;;;T000183;CONTENTIEUX;ETI
C000386;ETB001;CREDIT_BAIL;CREDIT;2018-05-29;2033-05-04;266181.2;203422.72;EUR;REVISABLE;;180;T000458;ACTIF;PME
C000387;ETB001;CAT;DEPOT;2018-08-06;;320470.71;;EUR;;;;T000447;CONTENTIEUX;
C000388;ETB001;PEL;EPARGNE;2023-01-17;;98718.56;;EUR;;;;T000299;CONTENTIEUX;PARTICULIER
C000389;ETB001;PEL;EPARGNE;2016-07-22;;208941.37;;EUR;;;;T000363;ACTIF;PME
C000390;ETB001;DAV;DEPOT;2019-07-25;;359373.29;;EUR;;;;T000161;ACTIF;PARTICULIER
C000391;ETB001;CAT;DEPOT;2020-08-21;;119977.86;;EUR;;;;T000282;CLOTURE;ETI
C000392;ETB001;PRET_IMMO;CREDIT;2018-02-20;2040-10-17;35559.06;21017.15;EUR;REVISABLE;;240;T000481;CLOTURE;PARTICULIER
C000393;ETB001;DECOUVERT;CREDIT;2018-11-17;2038-07-28;130039.58;55194.28;EUR;FIXE;4.1598;60;T000409;CLOTURE;ETI
C000394;ETB001;CREDIT_BAIL;CREDIT;2021-09-04;2034-01-24;488952.87;248781.33;EUR;VARIABLE;;240;T000017;CONTENTIEUX;ETI
C000395;ETB001;PRET_CONSO;CREDIT;2015-04-03;2033-01-16;292609.65;200328.33;EUR;REVISABLE;;300;T000176;ACTIF;PARTICULIER
C000396;ETB001;DAV;DEPOT;2015-01-12;;108372.79;;EUR;;;;T000447;ACTIF;
C000397;ETB001;CAT;DEPOT;2023-03-30;;316129.15;;EUR;;;;T000435;ACTIF;PME
C000398;ETB001;CREDIT_BAIL;CREDIT;2020-07-19;2036-01-30;277731.16;187674.85;EUR;FIXE;4.6511;300;T000099;ACTIF;PARTICULIER
C000399;ETB001;PEL;EPARGNE;2022-02-01;;496221.86;;EUR;;;;T000386;CONTENTIEUX;ETI
C000400;ETB001;CAT;DEPOT;2022-03-23;;207192.76;;EUR;;;;T000327;ACTIF;
C000401;ETB001;DAV;DEPOT;2016-03-02;;183078.85;;EUR;;;;T000474;CLOTURE;PARTICULIER
C000402;ETB001;PEL;EPARGNE;2022-06-29;;412511.92;;EUR;;;;T000455;ACTIF;PME
C000403;ETB001;LIVRET_A;EPARGNE;2023-12-02;;44686.16;;EUR;;;;T000471;ACTIF;PME
C000404;ETB001;LIVRET_A;EPARGNE;2021-10-09;;378856.31;;EUR;;;;T000196;ACTIF;ETI
C000405;ETB001;PRET_CONSO;CREDIT;2021-04-23;2036-06-06;256622.43;43646.13;EUR;REVISABLE;;180;T000461;ACTIF;
C000406;ETB001;PEL;EPARGNE;2022-12-13;;188116.08;;EUR;;;;T000417;ACTIF;ETI
C000407;ETB001;LIVRET_A;EPARGNE;2015-02-09;;356180.67;;EUR;;;;T000128;ACTIF;
C000408;ETB001;CREDIT_BAIL;CREDIT;2021-02-04;2035-11-11;177737.93;71323.09;EUR;REVISABLE;;180;T000415;ACTIF;PME
C000409;ETB001;LIVRET_A;EPARGNE;2022-08-29;;231932.59;;EUR;;;;T000254;ACTIF;PME
C000410;ETB001;LIVRET_A;EPARGNE;2017-04-10;;45707.41;;EUR;;;;T000058;ACTIF;PME
C000411;ETB001;LIVRET_A;EPARGNE;2018-10-16;;200290.01;;EUR;;;;T000228;CLOTURE;PME
C000412;ETB001;LIVRET_A;EPARGNE;2022-12-01;;382767.84;;EUR;;;;T000063;CLOTURE;ETI
C000413;ETB001;PRET_CONSO;CREDIT;2015-12-14;2032-11-30;403047.5;245837.38;EUR;FIXE;0.863;120;T000116;ACTIF;ETI
C000414;ETB001;PRET_CONSO;CREDIT;2015-05-02;2035-02-02;310309.82;114443.36;EUR;REVISABLE;;300;T000498;ACTIF;ETI
