identifiant_tiers;type_tiers;raison_sociale;code_naf;pays_residence;segment_clientele;notation_interne;date_entree_relation;est_defaut;date_defaut
T000273;PERSONNE_PHYSIQUE;;;DEU;GRANDE_ENTREPRISE;;2018-10-23;true;2020-11-25
T000274;PERSONNE_PHYSIQUE;;;ESP;PME;A1;2015-11-07;false;
T000275;PERSONNE_MORALE;Client 275;80.74;FRA;GRANDE_ENTREPRISE;A2;2007-11-07;false;
T000276;PERSONNE_PHYSIQUE;;;ESP;GRANDE_ENTREPRISE;C1;2001-09-24;false;
T000277;PERSONNE_PHYSIQUE;;;ESP;GRANDE_ENTREPRISE;A2;2019-12-15;false;
T000278;PERSONNE_PHYSIQUE;;;GBR;PARTICULIER;A2;2022-10-06;false;
T000279;PERSONNE_PHYSIQUE;;;ITA;GRANDE_ENTREPRISE;;2004-09-08;false;
T000280;PERSONNE_MORALE;Client 280;50.73;FRA;PARTICULIER;D;2006-11-19;false;
T000281;ETABLISSEMENT_CREDIT;Client 281;43.20;ITA;ETI;C1;2004-08-04;false;
T000282;PERSONNE_PHYSIQUE;;;FRA;PROFESSIONNEL;;2008-11-19;false;
T000283;ETABLISSEMENT_CREDIT;Client 283;89.60;FRA;PME;C1;2023-01-11;false;
T000284;PERSONNE_PHYSIQUE;;;ESP;PME;D;2006-09-22;false;
T000285;ETABLISSEMENT_CREDIT;Client 285;65.15;ITA;PROFESSIONNEL;A1;2007-10-07;false;
T000286;PERSONNE_PHYSIQUE;;;FRA;PME;B1;2016-03-08;false;
T000287;PERSONNE_MORALE;Client 287;72.98;FRA;GRANDE_ENTREPRISE;A1;2006-04-05;false;
T000288;PERSONNE_PHYSIQUE;;;ITA;PROFESSIONNEL;A1;2017-05-13;false;
T000289;PERSONNE_MORALE;Client 289;32.85;ITA;PROFESSIONNEL;B1;2004-11-09;false;
T000290;PERSONNE_PHYSIQUE;;;GBR;PARTICULIER;C1;2013-05-09;false;
T000291;ETABLISSEMENT_CREDIT;Client 291;56.79;FRA;GRANDE_ENTREPRISE;C1;2004-01-07;false;
T000292;PERSONNE_MORALE;Client 292;87.52;GBR;PME;C2;2013-05-13;false;
T000293;PERSONNE_PHYSIQUE;;;ITA;PARTICULIER;A1;2006-04-26;false;
T000294;ETABLISSEMENT_CREDIT;Client 294;28.99;ITA;PME;;2012-05-14;false;
T000295;ETABLISSEMENT_CREDIT;Client 295;51.63;ITA;PROFESSIONNEL;A1;2008-05-04;false;
T000296;PERSONNE_MORALE;Client 296;25.60;GBR;PROFESSIONNEL;A1;2008-05-30;false;
T000297;PERSONNE_MORALE;Client 297;20.60;ESP;PROFESSIONNEL;D;2006-06-22;false;
T000298;PERSONNE_MORALE;Client 298;34.77;GBR;ETI;D;2006-03-06;false;
T000299;PERSONNE_PHYSIQUE;;;DEU;PROFESSIONNEL;A2;2001-09-19;false;
T000300;ETABLISSEMENT_CREDIT;Client 300;39.28;ESP;ETI;D;2014-08-08;false;
T000301;PERSONNE_PHYSIQUE;;;ITA;PROFESSIONNEL;A2;2017-11-21;false;
T000302;ETABLISSEMENT_CREDIT;Client 302;32.32;DEU;PME;A2;2005-03-29;false;
T000303;ETABLISSEMENT_CREDIT;Client 303;10.38;GBR;GRANDE_ENTREPRISE;C2;2008-02-18;false;
T000304;PERSONNE_MORALE;Client 304;44.16;DEU;PROFESSIONNEL;D;2018-05-20;false;
T000305;PERSONNE_PHYSIQUE;;;DEU;ETI;A2;2007-07-03;false;
T000306;ETABLISSEMENT_CREDIT;Client 306;31.20;FRA;PARTICULIER;A2;2004-04-15;false;
T000307;PERSONNE_PHYSIQUE;;;ESP;PME;C1;2002-11-04;false;
T000308;PERSONNE_PHYSIQUE;;;FRA;PARTICULIER;C1;2005-11-07;false;
T000309;PERSONNE_MORALE;Client 309;79.18;ESP;PARTICULIER;;2011-02-11;false;
T000310;PERSONNE_MORALE;Client 310;23.53;ITA;PROFESSIONNEL;A2;2007-02-14;false;
T000311;PERSONNE_PHYSIQUE;;;ITA;PME;;2008-06-18;false;
T000312;ETABLISSEMENT_CREDIT;Client 312;29.46;ESP;PROFESSIONNEL;D;2008-07-26;false;
T000313;PERSONNE_PHYSIQUE;;;ESP;GRANDE_ENTREPRISE;A2;2022-12-23;false;
T000314;PERSONNE_PHYSIQUE;;;ITA;ETI;A1;2017-09-12;false;
T000315;ETABLISSEMENT_CREDIT;Client 315;72.92;DEU;GRANDE_ENTREPRISE;C1;2019-07-03;false;
T000316;ETABLISSEMENT_CREDIT;Client 316;47.60;FRA;PARTICULIER;D;2005-01-30;false;
T000317;PERSONNE_PHYSIQUE;;;GBR;PROFESSIONNEL;D;2019-11-08;false;
T000318;PERSONNE_MORALE;Client 318;76.33;DEU;PARTICULIER;B2;2009-09-20;false;
T000319;PERSONNE_MORALE;Client 319;23.63;ESP;PROFESSIONNEL;B1;2023-12-05;false;
T000320;ETABLISSEMENT_CREDIT;Client 320;88.31;GBR;GRANDE_ENTREPRISE;B1;2002-11-17;false;
T000321;ETABLISSEMENT_CREDIT;Client 321;37.83;FRA;GRANDE_ENTREPRISE;A2;2017-08-08;false;
T000322;ETABLISSEMENT_CREDIT;Client 322;92.59;ESP;PARTICULIER;A2;2006-03-29;false;
T000323;PERSONNE_MORALE;Client 323;66.57;FRA;ETI;A2;2010-11-26;false;
T000324;PERSONNE_MORALE;Client 324;95.82;FRA;PROFESSIONNEL;A2;2013-12-20;false;
T000325;PERSONNE_PHYSIQUE;;;FRA;PROFESSIONNEL;D;2013-01-06;false;
T000326;PERSONNE_MORALE;Client 326;62.82;ESP;GRANDE_ENTREPRISE;A1;2009-11-25;false;
T000327;ETABLISSEMENT_CREDIT;Client 327;74.83;DEU;ETI;B1;2003-05-29;false;
T000328;PERSONNE_MORALE;Client 328;22.59;GBR;PARTICULIER;C1;2010-09-15;true;2024-01-06
T000329;ETABLISSEMENT_CREDIT;Client 329;47.16;ESP;PROFESSIONNEL;A1;2018-02-22;false;
T000330;PERSONNE_MORALE;Client 330;31.58;FRA;ETI;A2;2023-02-12;false;
T000331;PERSONNE_MORALE;Client 331;18.89;GBR;PROFESSIONNEL;B1;2001-05-26;false;
T000332;PERSONNE_MORALE;Client 332;80.60;FRA;PARTICULIER;A1;2004-10-02;false;
T000333;ETABLISSEMENT_CREDIT;Client 333;76.36;ITA;PARTICULIER;;2009-12-06;false;
T000334;PERSONNE_MORALE;Client 334;18.18;ITA;PROFESSIONNEL;D;2014-01-22;false;
T000335;PERSONNE_PHYSIQUE;;;GBR;PME;C2;2023-10-04;false;
T000336;PERSONNE_MORALE;Client 336;98.31;GBR;PARTICULIER;;2012-06-10;false;
T000337;PERSONNE_MORALE;Client 337;23.78;ESP;ETI;D;2002-11-16;false;
T000338;ETABLISSEMENT_CREDIT;Client 338;83.98;GBR;GRANDE_ENTREPRISE;C2;2016-01-04;false;
T000339;ETABLISSEMENT_CREDIT;Client 339;68.66;GBR;PME;A1;2012-03-11;false;
T000340;PERSONNE_MORALE;Client 340;40.19;ESP;PROFESSIONNEL;D;2015-01-26;false;
T000341;PERSONNE_PHYSIQUE;;;ESP;ETI;;2016-07-02;false;
T000342;PERSONNE_PHYSIQUE;;;ITA;PARTICULIER;B1;2011-12-27;false;
T000343;PERSONNE_MORALE;Client 343;83.87;ESP;PME;A1;2013-09-19;false;
T000344;ETABLISSEMENT_CREDIT;Client 344;88.58;ESP;PME;D;2016-08-21;false;
T000345;ETABLISSEMENT_CREDIT;Client 345;51.80;ESP;PROFESSIONNEL;B1;2001-03-16;false;
T000346;PERSONNE_MORALE;Client 346;39.86;DEU;PME;A2;2018-11-26;false;
T000347;ETABLISSEMENT_CREDIT;Client 347;13.47;ITA;PME;D;2005-12-06;false;
T000348;PERSONNE_MORALE;Client 348;36.51;DEU;GRANDE_ENTREPRISE;B1;2010-06-26;false;
T000349;PERSONNE_MORALE;Client 349;86.43;DEU;PARTICULIER;A1;2021-04-05;false;
T000350;ETABLISSEMENT_CREDIT;Client 350;61.37;ITA;PME;D;2009-01-28;false;
T000351;PERSONNE_PHYSIQUE;;;DEU;PARTICULIER;B2;2007-06-23;false;
T000352;ETABLISSEMENT_CREDIT;Client 352;59.38;FRA;ETI;B2;2006-09-25;false;
T000353;ETABLISSEMENT_CREDIT;Client 353;85.96;GBR;GRANDE_ENTREPRISE;A1;2005-02-24;false;
T000354;ETABLISSEMENT_CREDIT;Client 354;23.50;ESP;PME;D;2012-04-17;false;
T000355;ETABLISSEMENT_CREDIT;Client 355;55.68;ESP;ETI;A1;2019-10-09;false;
T000356;ETABLISSEMENT_CREDIT;Client 356;13.47;GBR;PME;C1;2004-02-10;false;
T000357;ETABLISSEMENT_CREDIT;Client 357;45.74;FRA;PME;A2;2003-11-25;false;
T000358;ETABLISSEMENT_CREDIT;Client 358;46.15;ESP;PROFESSIONNEL;A1;2008-09-11;false;
T000359;PERSONNE_PHYSIQUE;;;GBR;ETI;C1;2001-10-01;true;2024-02-20
T000360;ETABLISSEMENT_CREDIT;Client 360;43.11;ITA;PROFESSIONNEL;B2;2012-03-06;true;2023-04-12
T000361;PERSONNE_MORALE;Client 361;53.16;DEU;PARTICULIER;A2;2023-08-19;false;
T000362;PERSONNE_PHYSIQUE;;;ESP;ETI;A2;2002-03-18;false;
T000363;PERSONNE_MORALE;Client 363;63.59;DEU;PME;A2;2018-02-08;false;
T000364;ETABLISSEMENT_CREDIT;Client 364;83.40;FRA;PME;A2;2018-05-27;false;
T000365;PERSONNE_MORALE;Client 365;46.72;ESP;ETI;B1;2010-01-22;false;
T000366;PERSONNE_PHYSIQUE;;;DEU;GRANDE_ENTREPRISE;D;2003-01-02;false;
T000367;PERSONNE_MORALE;Client 367;34.27;FRA;GRANDE_ENTREPRISE;C2;2000-02-01;false;
T000368;PERSONNE_PHYSIQUE;;;DEU;GRANDE_ENTREPRISE;C1;2007-08-05;false;
T000369;PERSONNE_PHYSIQUE;;;ESP;PARTICULIER;B1;2003-04-19;false;
T000370;ETABLISSEMENT_CREDIT;Client 370;65.63;ITA;PROFESSIONNEL;C1;2006-09-15;false;
T000371;ETABLISSEMENT_CREDIT;Client 371;80.43;DEU;PROFESSIONNEL;B1;2017-02-14;false;
T000372;ETABLISSEMENT_CREDIT;Client 372;10.88;DEU;PROFESSIONNEL;D;2001-02-08;true;2023-11-18
T000373;PERSONNE_MORALE;Client 373;92.69;GBR;GRANDE_ENTREPRISE;;2005-05-28;false;
T000374;PERSONNE_PHYSIQUE;;;DEU;PARTICULIER;A1;2004-02-02;false;
T000375;PERSONNE_MORALE;Client 375;88.72;ITA;GRANDE_ENTREPRISE;D;2017-02-25;false;
T000376;ETABLISSEMENT_CREDIT;Client 376;38.69;DEU;PARTICULIER;C2;2019-01-31;false;
T000377;ETABLISSEMENT_CREDIT;Client 377;96.59;ESP;PME;;2004-11-13;false;
T000378;PERSONNE_MORALE;Client 378;32.26;DEU;PARTICULIER;C2;2003-01-30;false;
T000379;ETABLISSEMENT_CREDIT;Client 379;19.37;ITA;PROFESSIONNEL;A2;2013-01-01;false;
T000380;PERSONNE_MORALE;Client 380;63.87;FRA;PME;B2;2007-08-25;false;
T000381;ETABLISSEMENT_CREDIT;Client 381;95.53;FRA;GRANDE_ENTREPRISE;A2;2013-10-01;false;
T000382;PERSONNE_PHYSIQUE;;;DEU;PROFESSIONNEL;B1;2017-11-02;false;
T000383;ETABLISSEMENT_CREDIT;Client 383;13.71;ITA;PME;A1;2006-07-06;false;
T000384;PERSONNE_MORALE;Client 384;40.79;DEU;PME;A1;2004-04-05;false;
T000385;PERSONNE_PHYSIQUE;;;DEU;PROFESSIONNEL;A2;2021-03-19;false;
T000386;PERSONNE_PHYSIQUE;;;DEU;GRANDE_ENTREPRISE;D;2006-07-06;false;
T000387;PERSONNE_MORALE;Client 387;13.81;ESP;PME;D;2023-01-16;false;
T000388;ETABLISSEMENT_CREDIT;Client 388;76.51;FRA;PARTICULIER;;2019-06-22;false;
T000389;ETABLISSEMENT_CREDIT;Client 389;83.26;DEU;PME;A2;2011-03-20;false;
T000390;PERSONNE_MORALE;Client 390;36.55;FRA;PARTICULIER;B1;2017-06-10;false;
T000391;ETABLISSEMENT_CREDIT;Client 391;10.80;ESP;GRANDE_ENTREPRISE;D;2008-05-23;false;
T000392;PERSONNE_PHYSIQUE;;;FRA;ETI;C2;2014-03-10;false;
T000393;PERSONNE_PHYSIQUE;;;ITA;PME;;2006-02-13;false;
T000394;PERSONNE_PHYSIQUE;;;ITA;ETI;;2007-05-30;false;
T000395;PERSONNE_PHYSIQUE;;;DEU;GRANDE_ENTREPRISE;A1;2015-06-04;false;
T000396;PERSONNE_MORALE;Client 396;15.31;ESP;PME;;2005-05-23;false;
T000397;ETABLISSEMENT_CREDIT;Client 397;44.13;ITA;ETI;B2;2017-06-23;false;
T000398;ETABLISSEMENT_CREDIT;Client 398;76.49;ESP;PME;C1;2001-01-18;false;
T000399;PERSONNE_MORALE;Client 399;97.95;ESP;ETI;D;2002-08-31;false;
T000400;PERSONNE_PHYSIQUE;;;ESP;PARTICULIER;B1;2004-06-05;true;2021-07-06
T000401;PERSONNE_PHYSIQUE;;;FRA;PARTICULIER;C1;2014-03-17;false;
T000402;PERSONNE_MORALE;Client 402;88.86;GBR;PARTICULIER;C2;2018-01-20;false;
T000403;PERSONNE_MORALE;Client 403;24.45;GBR;ETI;A2;2014-12-19;false;
T000404;PERSONNE_MORALE;Client 404;18.38;FRA;PME;;2019-10-03;false;
T000405;ETABLISSEMENT_CREDIT;Client 405;77.34;ESP;GRANDE_ENTREPRISE;;2023-07-28;false;
T000406;PERSONNE_PHYSIQUE;;;ITA;ETI;C1;2002-12-27;false;
T000407;PERSONNE_PHYSIQUE;;;FRA;ETI;A2;2023-11-21;false;
T000408;ETABLISSEMENT_CREDIT;Client 408;52.72;GBR;PME;C1;2006-03-12;true;2020-09-13
T000409;ETABLISSEMENT_CREDIT;Client 409;76.67;ITA;PROFESSIONNEL;A1;2021-05-28;false;
T000410;PERSONNE_MORALE;Client 410;21.36;ESP;PARTICULIER;;2011-02-26;false;
T000411;PERSONNE_PHYSIQUE;;;DEU;PME;D;2012-04-12;false;
T000412;PERSONNE_PHYSIQUE;;;ITA;GRANDE_ENTREPRISE;A2;2001-02-08;false;
T000413;ETABLISSEMENT_CREDIT;Client 413;53.62;ESP;ETI;A1;2007-11-13;false;
T000414;ETABLISSEMENT_CREDIT;Client 414;76.68;GBR;PME;;2022-07-16;false;
T000415;ETABLISSEMENT_CREDIT;Client 415;42.75;ITA;ETI;B2;2018-01-24;false;
T000416;ETABLISSEMENT_CREDIT;Client 416;16.23;GBR;PROFESSIONNEL;A2;2004-05-08;false;
T000417;PERSONNE_PHYSIQUE;;;FRA;PME;B1;2009-01-04;false;
T000418;PERSONNE_MORALE;Client 418;26.12;GBR;GRANDE_ENTREPRISE;A2;2014-01-02;false;
T000419;PERSONNE_PHYSIQUE;;;FRA;ETI;A1;2011-12-23;false;
T000420;ETABLISSEMENT_CREDIT;Client 420;53.65;DEU;PME;B1;2013-03-01;false;
T000421;ETABLISSEMENT_CREDIT;Client 421;56.52;FRA;PARTICULIER;C2;2003-12-31;false;
T000422;PERSONNE_PHYSIQUE;;;ESP;PARTICULIER;B2;2005-04-22;false;
T000423;PERSONNE_PHYSIQUE;;;GBR;PARTICULIER;B1;2017-06-10;false;
T000424;PERSONNE_MORALE;Client 424;73.53;FRA;PARTICULIER;C1;2002-05-27;false;
T000425;PERSONNE_PHYSIQUE;;;ITA;PME;A2;2018-01-20;false;
T000426;ETABLISSEMENT_CREDIT;Client 426;94.30;ITA;PME;C1;2000-09-06;false;
T000427;PERSONNE_PHYSIQUE;;;ITA;PARTICULIER;B1;2022-03-20;false;
T000428;ETABLISSEMENT_CREDIT;Client 428;14.94;ESP;ETI;B2;2017-10-04;false;
T000429;ETABLISSEMENT_CREDIT;Client 429;66.32;ITA;PME;C2;2007-03-07;false;
T000430;ETABLISSEMENT_CREDIT;Client 430;58.91;GBR;PME;D;2012-09-24;false;
T000431;ETABLISSEMENT_CREDIT;Client 431;74.69;GBR;PROFESSIONNEL;C2;2003-07-10;false;
T000432;PERSONNE_MORALE;Client 432;70.67;GBR;PARTICULIER;B1;2015-08-01;false;
T000433;PERSONNE_PHYSIQUE;;;GBR;ETI;B1;2007-05-10;false;
T000434;PERSONNE_MORALE;Client 434;82.85;FRA;ETI;C2;2023-12-30;false;
T000435;PERSONNE_PHYSIQUE;;;ITA;PROFESSIONNEL;B2;2007-12-10;false;
T000436;PERSONNE_MORALE;Client 436;16.62;GBR;GRANDE_ENTREPRISE;C2;2013-08-15;false;
T000437;ETABLISSEMENT_CREDIT;Client 437;64.69;DEU;ETI;C1;2000-09-08;false;
T000438;ETABLISSEMENT_CREDIT;Client 438;79.65;GBR;ETI;B2;2010-10-27;false;
T000439;PERSONNE_PHYSIQUE;;;DEU;PROFESSIONNEL;B2;2017-08-07;false;
T000440;PERSONNE_PHYSIQUE;;;ESP;PARTICULIER;A2;2016-03-14;false;
T000441;PERSONNE_PHYSIQUE;;;FRA;PME;C1;2001-07-26;false;
T000442;PERSONNE_PHYSIQUE;;;FRA;GRANDE_ENTREPRISE;B1;2015-03-11;false;
T000443;ETABLISSEMENT_CREDIT;Client 443;47.39;GBR;ETI;;2019-12-15;false;
T000444;ETABLISSEMENT_CREDIT;Client 444;74.80;ITA;PARTICULIER;C2;2007-05-19;false;
T000445;PERSONNE_PHYSIQUE;;;ESP;GRANDE_ENTREPRISE;B1;2019-12-15;true;2020-01-26
T000446;PERSONNE_PHYSIQUE;;;GBR;PROFESSIONNEL;D;2013-06-11;true;2021-12-22
T000447;ETABLISSEMENT_CREDIT;Client 447;97.98;GBR;PARTICULIER;C2;2021-07-18;false;
T000448;PERSONNE_PHYSIQUE;;;ESP;GRANDE_ENTREPRISE;B1;2005-11-05;false;
T000449;ETABLISSEMENT_CREDIT;Client 449;53.19;GBR;PME;B2;2003-02-17;false;
T000450;PERSONNE_MORALE;Client 450;46.83;ITA;ETI;C1;2011-12-16;false;
T000451;ETABLISSEMENT_CREDIT;Client 451;84.81;FRA;PME;C1;2012-09-20;false;
T000452;PERSONNE_MORALE;Client 452;52.89;DEU;PARTICULIER;C2;2006-01-17;false;
T000453;ETABLISSEMENT_CREDIT;Client 453;47.88;ITA;ETI;A2;2006-12-06;false;
T000454;PERSONNE_MORALE;Client 454;36.86;FRA;ETI;C1;2001-11-01;false;
T000455;PERSONNE_PHYSIQUE;;;DEU;PARTICULIER;C2;2008-06-25;false;
T000456;PERSONNE_MORALE;Client 456;77.79;ESP;GRANDE_ENTREPRISE;B2;2001-02-02;false;
T000457;PERSONNE_PHYSIQUE;;;GBR;ETI;A1;2008-07-11;false;
T000458;ETABLISSEMENT_CREDIT;Client 458;43.73;ITA;PME;B1;2014-12-19;false;
T000459;PERSONNE_PHYSIQUE;;;FRA;PME;A2;2003-03-03;false;
T000460;ETABLISSEMENT_CREDIT;Client 460;69.94;ITA;PROFESSIONNEL;;2001-07-19;false;
T000461;PERSONNE_PHYSIQUE;;;ESP;GRANDE_ENTREPRISE;;2021-07-18;false;
T000462;PERSONNE_PHYSIQUE;;;GBR;ETI;A2;2017-11-05;false;
T000463;PERSONNE_PHYSIQUE;;;ITA;PME;A2;2007-12-12;false;
T000464;PERSONNE_PHYSIQUE;;;GBR;GRANDE_ENTREPRISE;D;2008-01-20;false;
T000465;PERSONNE_MORALE;Client 465;97.97;FRA;ETI;D;2017-07-09;false;
T000466;PERSONNE_PHYSIQUE;;;GBR;PME;D;2020-05-04;false;
T000467;PERSONNE_MORALE;Client 467;16.39;ITA;GRANDE_ENTREPRISE;B2;2011-06-12;false;
T000468;PERSONNE_PHYSIQUE;;;ESP;PME;D;2004-09-05;false;
T000469;PERSONNE_PHYSIQUE;;;GBR;GRANDE_ENTREPRISE;B1;2019-09-27;false;
T000470;PERSONNE_PHYSIQUE;;;ITA;PARTICULIER;C1;2006-07-12;false;
T000471;ETABLISSEMENT_CREDIT;Client 471;72.52;GBR;ETI;B1;2007-08-08;false;
T000472;PERSONNE_PHYSIQUE;;;ITA;GRANDE_ENTREPRISE;C1;2000-06-25;false;
T000473;PERSONNE_PHYSIQUE;;;FRA;PARTICULIER;A1;2007-10-12;false;
T000474;PERSONNE_MORALE;Client 474;31.69;GBR;PME;C1;2018-11-01;false;
T000475;PERSONNE_PHYSIQUE;;;ITA;PROFESSIONNEL;A1;2008-04-26;false;
T000476;PERSONNE_PHYSIQUE;;;DEU;PROFESSIONNEL;A2;2019-02-13;false;
T000477;PERSONNE_PHYSIQUE;;;DEU;ETI;A2;2018-11-27;false;
T000478;PERSONNE_MORALE;Client 478;65.92;GBR;PARTICULIER;C1;2017-01-21;false;
T000479;PERSONNE_PHYSIQUE;;;DEU;PME;D;2002-10-23;false;
T000480;PERSONNE_MORALE;Client 480;38.66;DEU;PME;C1;2023-02-26;false;
T000481;PERSONNE_PHYSIQUE;;;ESP;PME;B1;2007-03-21;false;
T000482;PERSONNE_PHYSIQUE;;;ITA;ETI;D;2010-08-20;false;
T000483;PERSONNE_MORALE;Client 483;72.83;GBR;PARTICULIER;C2;2013-01-18;false;
T000484;PERSONNE_PHYSIQUE;;;GBR;ETI;A1;2009-06-10;true;2022-12-13
T000485;PERSONNE_MORALE;Client 485;33.17;DEU;ETI;A2;2019-04-16;false;
T000486;PERSONNE_PHYSIQUE;;;FRA;ETI;C1;2002-07-03;false;
T000487;PERSONNE_MORALE;Client 487;24.74;ITA;GRANDE_ENTREPRISE;A1;2022-08-29;false;
T000488;PERSONNE_MORALE;Client 488;51.24;DEU;GRANDE_ENTREPRISE;A2;2022-09-23;false;
T000489;ETABLISSEMENT_CREDIT;Client 489;74.60;GBR;GRANDE_ENTREPRISE;C2;2006-01-23;false;
T000490;ETABLISSEMENT_CREDIT;Client 490;41.87;ITA;PROFESSIONNEL;C1;2004-09-06;false;
T000491;ETABLISSEMENT_CREDIT;Client 491;91.32;DEU;PARTICULIER;C2;2006-06-11;false;
T000492;PERSONNE_PHYSIQUE;;;GBR;ETI;A1;2015-02-17;false;
T000493;PERSONNE_MORALE;Client 493;50.80;ITA;GRANDE_ENTREPRISE;A2;2011-01-09;false;
T000494;ETABLISSEMENT_CREDIT;Client 494;87.27;FRA;PME;A1;2015-10-17;false;
T000495;PERSONNE_MORALE;Client 495;71.18;ITA;ETI;D;2000-10-08;false;
T000496;PERSONNE_PHYSIQUE;;;FRA;PME;D;2020-03-11;false;
T000497;PERSONNE_PHYSIQUE;;;FRA;PME;B2;2011-11-09;false;
T000498;PERSONNE_MORALE;Client 498;56.96;ITA;PARTICULIER;C1;2003-02-02;false;
T000499;PERSONNE_PHYSIQUE;;;GBR;ETI;C2;2001-06-28;false;
T000500;PERSONNE_MORALE;Client 500;32.90;ESP;GRANDE_ENTREPRISE;;2019-04-26;false;
